model_number,star_age,star_mass,log_L,log_Teff,log_R,he_core_mass,c_core_mass,o_core_mass,si_core_mass,fe_core_mass,center_h1,center_he4
730.0,7097196.836970708,25.0,5.437892002571031,3.661500858515555,2.9192031207070324,9.082823373620132,6.54907979348072,6.592154804515729,1.453023644398444,0.0,1.4917571879332518e-34,4.530857929983957e-14
740.0,7097196.850645592,25.0,5.437710838849201,3.661457186558206,2.9191998827608137,9.082823372691834,6.550006125349849,6.592154804515729,1.5017534764556673,0.0,7.037312162319075e-32,2.4166034163978043e-09
750.0,7097196.852658228,25.0,5.437564176949673,3.6614208905684906,2.919199143790481,9.082823372557781,6.550006125349849,6.592154804515729,1.9857283291019385,0.0,4.701346593239902e-32,6.295691346502486e-10
760.0,7097196.8564111255,25.0,5.436384860974715,3.661132055001845,2.9191871569362933,9.082823372340403,6.550006125349849,6.592154804515729,2.2080865534821505,0.0,1.887356533401966e-32,1.9241722064591038e-09
770.0,7097196.858892251,25.0,5.434499768797123,3.660673015185074,2.91916269048104,9.082823372323427,6.550006125349849,6.592154804515729,2.2815106208017797,0.0,2.856491805270016e-31,3.439458884140594e-10
780.0,7097196.861633001,25.0,5.433029271288301,3.6603185723682112,2.919136327360354,9.082823372222817,6.550006125349849,6.592154804515729,2.3113815955429273,0.0,2.3635805670218916e-37,7.261598310750677e-10
790.0,7097196.862552686,25.0,5.432023353776425,3.660073637872951,2.9191232375949374,9.082823372207358,6.550006125349849,6.592154804515729,2.461912257813354,0.0,1.271794660173898e-32,5.331050895710609e-10
800.0,7097196.864449154,25.0,5.429295883775067,3.6594105372234433,2.919085703893273,9.082823372207358,6.550006125349849,6.592154804515729,2.518022574171897,0.0,2.451635567097192e-33,2.5761813007256914e-09
808.0,7097196.864897151,25.0,5.427006862704007,3.6588476406918358,2.919066986420959,9.082823372207358,6.550006125349849,6.592154804515729,2.518022574171897,0.04556425047390234,4.0728402411415385e-32,0.0003480947818652034
810.0,7097196.864912881,25.0,5.426723049782012,3.6587775372173743,2.919065286908883,9.082823372207358,6.550006125349849,6.592154804515729,2.518022574171897,0.08021280580684285,8.91046582814444e-32,0.00023163890650482305
820.0,7097196.864937843,25.0,5.425615376937424,3.6585027548705864,2.919061015180166,9.082823372207358,6.550006125349849,6.591609258030531,2.518022574171897,0.20463506054263433,1.5316932472260825e-31,0.0002578992136519942
