model_number,star_age,star_mass,log_L,log_Teff,log_R,center_h1,center_he4
840.0,12397058331.794245,0.9154089075100635,2.7218099969385867,3.560516761599361,1.7631303117231971,0.0,0.9800917239427919
850.0,12397311041.8713,0.9126745358525925,2.7351428575847474,3.559229512890662,1.772371239463675,0.0,0.9800917198068715
860.0,12397552819.747381,0.909867179405487,2.7560089672925323,3.557180758197685,1.7869018037035234,0.0,0.9800917157799172
870.0,12397774295.933844,0.9071332622485352,2.762368921605139,3.556550223629219,1.7913428499967583,0.0,0.9800917120264827
880.0,12397992770.892344,0.9043229722855994,2.7739677000143073,3.5554271536723143,1.799388379115152,0.0,0.9800917082550494
890.0,12398200950.374126,0.9014908915753654,2.786350013776351,3.5542110866771206,1.80801166998656,0.0,0.9800917045903136
900.0,12398399084.159426,0.8986657744726047,2.798236901644691,3.5530168865406866,1.8163435141935986,0.0,0.9800917010291231
910.0,12398590369.066996,0.8958684410362121,2.805633967453303,3.5522746626684367,1.8215264948424044,0.0,0.980091697512489
920.0,12398781318.067726,0.8928943851460523,2.82079460087386,3.550738111009386,1.8321799148707845,0.0,0.9800916939131121
930.0,12398963031.950207,0.8898866032808003,2.834897293937136,3.549335294103813,1.8420368952135688,0.0,0.9800916903918411
940.0,12399135543.041716,0.8868611957961663,2.8485808571584843,3.547941574797283,1.8516661154373033,0.0,0.9800916869458246
950.0,12399302178.63483,0.8837676626913317,2.861988176091446,3.546563541091375,1.8611258423155985,0.0,0.9800916835028924
960.0,12399460883.717546,0.8806550051288734,2.8748747924861924,3.5452428089652717,1.870210614765179,0.0,0.9800916800982016
970.0,12399612951.701128,0.8775080583946472,2.887475111516473,3.5439368318092566,1.8791227285923504,0.0,0.9800916766950044
980.0,12399758584.594376,0.874332001307905,2.8997165972689745,3.5426589015648284,1.887799331957457,0.0,0.9800916732753066
990.0,12399897617.200836,0.8711412868509041,2.9115424016538496,3.5414235103033502,1.8961830166728513,0.0,0.9800916698361815
1000.0,12400031737.994032,0.8679047971290077,2.9232257678960774,3.5401871076973017,1.9044975050060622,0.0,0.9800916663344554
1010.0,12400160712.619452,0.8646356237315199,2.9346045543177355,3.5389888947466255,1.9125833241182442,0.0,0.9800916627676707
1020.0,12400283870.242496,0.8613613103989451,2.9455932522160517,3.53780699891684,1.9204414647269723,0.0,0.9800916591415342
1030.0,12400402112.158146,0.8580672690299519,2.956223052513784,3.536674476512559,1.928021409684401,0.0,0.9800916554120238
1040.0,12400516502.771353,0.8547299299555619,2.966892287087725,3.5355035591762216,1.9356978616440452,0.0,0.9800916515186889
1050.0,12400626645.161589,0.8513682630006412,2.9771275770270944,3.5343960752105312,1.9430304745451115,0.0,0.9800916474432425
1060.0,12400733338.201658,0.8479632579621329,2.9873824662184933,3.5332494257555225,1.9504512180508287,0.0,0.9800916431184923
1070.0,12400836655.531414,0.8445175694553232,2.9972818874990326,3.5321279011893294,1.9576439778234833,0.0,0.980091638492444
1080.0,12400935815.5329,0.8410660292887087,3.0068621119174432,3.53106054600988,1.9645688003915887,0.0,0.980091633555176
1090.0,12401031950.76569,0.837575035602235,3.01648654223549,3.529941452656568,1.971619202257235,0.0,0.9800916281995651
1100.0,12401125531.611269,0.8340308995835721,3.025791894533856,3.528886445586416,1.9783818925467225,0.0,0.9800916223325759
1110.0,12401215663.398415,0.8304748061319165,3.034879835102248,3.5278193766426598,1.9850600007184311,0.0,0.9800916159439298
1120.0,12401303254.030418,0.8268756582761664,3.0439401835359954,3.52674498519216,1.9917389578363036,0.0,0.9800916088994752
1130.0,12401388261.24793,0.8232399619513537,3.0528140981949794,3.5257084548742244,1.998248975801668,0.0,0.9800916011182259
1140.0,12401470987.261303,0.8195587819349083,3.0614059260073034,3.524668707775467,2.0046243839053446,0.0,0.9800915924760202
1150.0,12401551593.27418,0.8158284026045718,3.0700645586116435,3.5236166483841997,2.0110578189900497,0.0,0.9800915828455911
1160.0,12401629768.324438,0.8120680860236638,3.0784078342478947,3.5225741802048125,2.017314393166948,0.0,0.9800915721484632
1170.0,12401704920.873566,0.8083144536799369,3.0865349828487183,3.52157004579382,2.0233862362893453,0.0,0.9800915603704394
1180.0,12401778426.062458,0.804502482173309,3.094675045984049,3.5205524695598642,2.0294914203249217,0.0,0.9800915471740342
1190.0,12401850087.778141,0.800645292051831,3.10267765065907,3.5195322275865166,2.0355332066091276,0.0,0.9800915324247907
1200.0,12401919953.264318,0.7967434763634001,3.1104641672618416,3.518520465869769,2.041449988344009,0.0,0.9800915159333737
1210.0,12401988111.209713,0.7927957537898772,3.118178469103476,3.5175338935359037,2.047280283932556,0.0,0.9800914974778955
1220.0,12402053892.596558,0.7888477119610507,3.1254015634153087,3.5165726138568787,2.052814390446524,0.0,0.9800914770583894
1230.0,12402116760.802044,0.7849426616909809,3.132565492113111,3.515590833868015,2.0583599147731513,0.0,0.9800914547334367
1240.0,12402177158.235647,0.7810626874908609,3.139416839189007,3.514663862800037,2.063639530447056,0.0,0.9800914302624486
1250.0,12402232562.945728,0.777388706465858,3.1417909700222357,3.5142185024967456,2.065717316470253,0.0,0.9800913059849949
1260.0,12402262426.0912,0.7753967963007743,3.1453008438290886,3.5137546593262687,2.0683999397146327,0.0,0.9800912916153971
1270.0,12402312364.560894,0.7719317296396428,3.1559275004993403,3.512394800173175,2.0764329863559468,0.0,0.9800912651911634
1280.0,12402353426.213947,0.7690101803884299,3.152864687530146,3.5126238033932227,2.074443573431254,0.0,0.9800912409998697
1290.0,12402363124.644068,0.7683306359747512,3.152955642576764,3.512593844246749,2.074548969247511,0.0,0.9800912349254461
1300.0,12402372051.517477,0.7677011502281635,3.154791880424269,3.5123652997513695,2.075924177162021,0.0,0.9800912291995888
1310.0,12402381074.955647,0.7670601755670036,3.156044833093037,3.5121902104267306,2.076900832145684,0.0,0.9800912232804647
1320.0,12402389985.40294,0.766423403707036,3.1573184610245613,3.512022227602404,2.077873611760099,0.0,0.9800912173036882
