radius,mass,logT,logRho,logP,logL,mu,eps_nuc,h1,he4,gradr,grada
1.384121837471653,0.5110853167344283,5.974786773018316,-3.995133243246015,10.163071490044226,3.018339756390808,0.6307338520019613,6.838081409935886e-14,0.6785424886641003,0.30016702156077885,0.23062851773532583,0.31053871591407434
1.3936295379113675,0.5110891645608459,5.971429220793895,-4.006510157770134,10.148511929111175,3.0183397470119915,0.6307383725092939,6.125669290801798e-14,0.6785423511192612,0.30016665349569266,0.23011457823039339,0.31040752246660713
1.4130163713768218,0.5110968602136808,5.966362731197515,-4.023905270102624,10.126345962085155,3.0183397262408915,0.6307464368484061,5.183664771365929e-14,0.6785421459649373,0.300166104032607,0.22909338986623742,0.3101880154491457
1.4329099441891378,0.5111045558665159,5.959564867379129,-4.047183397947887,10.09666212346895,3.0183397028290684,0.6307599649799318,4.140405096668904e-14,0.6785418740044574,0.30016537496803636,0.2281201938789277,0.30990002367589325
1.443050990483545,0.5111084036929334,5.954432541598956,-4.064696759621312,10.074308053870002,3.0183396901580792,0.6307727650689161,3.4926001177371e-14,0.6785416714384611,0.3001648313427985,0.2276289811988008,0.3096927475448377
1.453327393456336,0.5111122515193509,5.950989276365582,-4.076599772957355,10.059179947868998,3.018339676797906,0.6307828210679055,3.113780650215248e-14,0.6785415366089104,0.30016446939859165,0.22709977183139746,0.30954276005132114
1.474305041023632,0.511119947172186,5.945792041251559,-4.094813550894219,10.036133160041521,3.0183396478526996,0.6308004016340313,2.615647423197925e-14,0.6785413353450098,0.30016392867789243,0.22602062968079448,0.30929795184655307
1.488607535963316,0.5111250776074093,5.939987215982537,-4.114960343625191,10.010560445018047,3.0183396269896283,0.6308226375242082,2.1524262326152603e-14,0.6785411130149952,0.3001633307684924,0.22530067265368126,0.3090470892268405
1.5031758131988096,0.5111302080426328,5.935310156198767,-4.131379404275746,9.989797500433674,3.018339604794944,0.6308404487315253,1.837871114529402e-14,0.6785409356685621,0.30016285363513895,0.2245737602056851,0.30883138137393784
1.5105612245509126,0.5111327732602444,5.931786587964195,-4.143723758230374,9.974178793169184,3.018339593203253,0.6308518641404889,1.6312401072931792e-14,0.6785408029168317,0.3001624963891365,0.22421077455993163,0.3086727732317642
1.518016270747317,0.5111353384778561,5.929427405370816,-4.152066086215646,9.963656140053077,3.0183395812649922,0.6308579440614809,1.505556091358309e-14,0.67854071484828,0.3001622592048539,0.22383787351222467,0.3085601834976752
1.533141943750831,0.5111404689130794,5.925873387582868,-4.1647552137796335,9.947701344582391,3.018339556294653,0.6308644388523053,1.3335913747868385e-14,0.678540583570569,0.30016190530129333,0.22310191257036743,0.30838014612407477
1.5485599589962056,0.5111455993483028,5.92111280534605,-4.181720840014854,9.926359113492513,3.0183395298832685,0.6308690498946965,1.1332256148869479e-14,0.6785404080175734,0.3001614322707024,0.22239405274350493,0.30814195775739256
1.5642798263360058,0.5111507297835262,5.916322736156191,-4.19887359834573,9.90481625873454,3.0183395020022923,0.6308717188551209,9.613463361813218e-15,0.6785402342639598,0.30016096332101555,0.22169858171006054,0.3078931715214591
1.5803114035116599,0.5111558602187496,5.91150233898945,-4.216215902989158,9.88306891665128,3.018339472628806,0.6308754922662011,8.141352900629639e-15,0.6785400623069038,0.30016049844457393,0.22100669159632236,0.3076316557991547
1.5966649579971464,0.5111609906539729,5.906650953830983,-4.2337514575863935,9.861113165502916,3.0183394417343656,0.6308812027854998,6.882566134842307e-15,0.6785398916737175,0.300160036567317,0.22030792722480388,0.3073559451337563
1.6133512355791209,0.5111661210891962,5.901768145889723,-4.251485314889897,9.83894502708038,3.0183394092803715,0.6308883296328712,5.807995482909245e-15,0.6785397232037129,0.30015957959218564,0.21959049153559035,0.3070655042195019
1.6303815150958965,0.5111712515244197,5.896853745790548,-4.269423390565172,9.816560471458027,3.0183393752158962,0.6308960898213343,4.892279018543664e-15,0.678539554261132,0.30015912153774715,0.21884680613746524,0.3067603642088787
1.6477675972705823,0.511176381959643,5.891907766521589,-4.2875707012752144,9.79395542422233,3.018339339484166,0.6309050792951316,4.11334527111153e-15,0.6785393852344971,0.30015866329082724,0.2180774226688149,0.3064409168710273
1.665521818781383,0.5111815123948663,5.886930226575117,-4.30593202976038,9.771125772524243,3.0183393020262863,0.6309171632222181,3.4519800532875393e-15,0.6785392172400965,0.30015820738015986,0.21728622026508962,0.30610781054564346
1.6836571422709032,0.5111866428300897,5.881921074848946,-4.3245137527288655,9.74806737130859,3.018339262781893,0.6309335038254317,2.891467059012457e-15,0.6785390502765459,0.3001577538019842,0.2164939092442094,0.3057624181850305
1.692870335122222,0.5111892080477013,5.878145614086036,-4.338489304585523,9.730717031271853,3.018339242497306,0.6309481165778622,2.529256728934578e-15,0.6785389249605576,0.300157413403345,0.2160933933330682,0.30550548574418473
1.7021839098888571,0.5111917732653131,5.87561691359821,-4.3479484184140595,9.71901446920379,3.018339221748986,0.6309582289854593,2.311467391104603e-15,0.6785388417858295,0.3001571873083184,0.21567402407688102,0.3053251402183891
1.7211228258934073,0.5111969037005364,5.871806394563473,-4.362358670582882,9.70124969146579,3.0183391787881466,0.6309728617864041,2.0169199127492308e-15,0.6785387174228701,0.30015684906704937,0.21482662166792418,0.30504055174277056
1.7404854353260781,0.5112020341357598,5.866701234271728,-4.3816317445601,9.677479937990771,3.018339133888537,0.6309908233299326,1.6795479266356905e-15,0.6785385518994138,0.30015639874034794,0.21398871709311537,0.3046660361547187
1.7602871319175932,0.5112071645709831,5.861563500822773,-4.4011423203604,9.653464734370448,3.0183390869654296,0.6310090496929853,1.395797311827961e-15,0.678538386791571,0.3001559493451911,0.21314859224148067,0.3042874409497526
1.7805440887266857,0.5112122950062065,5.85639277339115,-4.420896884632116,9.629199918378681,3.018339037935073,0.6310292170971381,1.1576071481493236e-15,0.6785382226476475,0.3001555021548247,0.2123100411894048,0.30390684268483176
1.8012732781420016,0.5112174254414299,5.851188556445599,-4.440901536956609,9.604681356607081,3.0183389867593675,0.6310488370550664,9.580560990025563e-16,0.678538059411324,0.3001550570318399,0.2114768975065176,0.30351974550615307
1.8224924758430217,0.5112225558766532,5.8459502785032855,-4.461161648289235,9.579904961900663,3.018338933406679,0.631065013311643,7.912126642332523e-16,0.6785378967340645,0.30015461318267994,0.210648042138765,0.30312266225171886
1.8442202905700085,0.5112276863118765,5.84067741557463,-4.481682406538531,9.554866710819493,3.018338877824417,0.6310769030186252,6.520040365769269e-16,0.6785377350277505,0.3001541715465059,0.2098153462510418,0.3027170475818797
1.8664761367017841,0.5112328167471,5.835369673313416,-4.502467662556726,9.52956266257907,3.0183388199563503,0.6310831538849441,5.361030153732037e-16,0.6785375743744027,0.30015373229753256,0.20896821811688235,0.3023034844806436
1.8892802303507141,0.5112379471823233,5.830027061976228,-4.523520469752786,9.503988976309449,3.018338759727542,0.6310819971482853,4.398226945922445e-16,0.6785374151943764,0.30015329636657734,0.2080957866081316,0.30187765151843854
1.9126537388708984,0.5112430776175466,5.824649918464046,-4.544846011666361,9.478141927861506,3.018338697038595,0.6310748187722356,3.6002339798777795e-16,0.6785372577454518,0.30015286438584565,0.20721346228044735,0.30143486079243453
1.9245582491300635,0.5112456428351584,5.820597492472041,-4.560882000464225,9.458697725596458,3.0183386647742636,0.6310685157137266,3.0949315643123576e-16,0.6785371410502923,0.30015254358139476,0.20676302827838772,0.30110265251118734
